Label,URI,Parent URI,Sort Priority,Description,Local Notation
Essex Thames Gateway,http://data.europa.eu/nuts/code/UKH37,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,133,,
Camden and City of London,http://data.europa.eu/nuts/code/UKI31,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,134,,
Westminster,http://data.europa.eu/nuts/code/UKI32,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,135,,
Kensington & Chelsea and Hammersmith & Fulham,http://data.europa.eu/nuts/code/UKI33,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,136,,
Wandsworth,http://data.europa.eu/nuts/code/UKI34,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,137,,
Hackney and Newham,http://data.europa.eu/nuts/code/UKI41,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,138,,
Tower Hamlets,http://data.europa.eu/nuts/code/UKI42,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,139,,
Haringey and Islington,http://data.europa.eu/nuts/code/UKI43,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,140,,
Lewisham and Southwark,http://data.europa.eu/nuts/code/UKI44,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,141,,
Lambeth,http://data.europa.eu/nuts/code/UKI45,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,142,,
Bexley and Greenwich,http://data.europa.eu/nuts/code/UKI51,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,143,,
Barking & Dagenham and Havering,http://data.europa.eu/nuts/code/UKI52,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,144,,
Redbridge and Waltham Forest,http://data.europa.eu/nuts/code/UKI53,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,145,,
