NUTS Geography,Year,ONS Functional Category,Flow Directions,Value
UKD,2015,insurance-pension,exports,1619
UKD,2015,financial,exports,3674
UKD,2015,administrative-support,exports,456
UKD,2015,other,exports,505
UKD,2015,all,exports,18470
UKE,2015,primary-utilities,exports,26
UKE,2015,manufacturing,exports,781
UKE,2015,transport,exports,1103
UKE,2015,travel,exports,761
UKE,2015,construction,exports,34
UKE,2015,wholesale-motor,exports,133
UKE,2015,retail,exports,41
UKE,2015,information-communication,exports,401
UKE,2015,real-estate,exports,584
UKE,2015,insurance-pension,exports,549
UKE,2015,financial,exports,2609
UKE,2015,administrative-support,exports,106
UKE,2015,other,exports,67
UKE,2015,all,exports,7195
UKF,2015,primary-utilities,exports,52
UKF,2015,manufacturing,exports,1314
UKF,2015,transport,exports,548
UKF,2015,travel,exports,673
UKF,2015,construction,exports,20
UKF,2015,wholesale-motor,exports,153
UKF,2015,retail,exports,35
UKF,2015,information-communication,exports,547
UKF,2015,real-estate,exports,442
UKF,2015,insurance-pension,exports,227
UKF,2015,financial,exports,1499
UKF,2015,administrative-support,exports,113
UKF,2015,other,exports,52
UKF,2015,all,exports,5675
UKG,2015,primary-utilities,exports,20
UKG,2015,manufacturing,exports,936
UKG,2015,transport,exports,702
UKG,2015,travel,exports,1233
UKG,2015,construction,exports,45
UKG,2015,wholesale-motor,exports,178
UKG,2015,retail,exports,44
UKG,2015,information-communication,exports,759
UKG,2015,real-estate,exports,694
UKG,2015,insurance-pension,exports,1116
UKG,2015,financial,exports,2246
UKG,2015,administrative-support,exports,122
UKG,2015,other,exports,43
UKG,2015,all,exports,8138
UKH,2015,primary-utilities,exports,31
UKH,2015,manufacturing,exports,1131
UKH,2015,transport,exports,1691
UKH,2015,travel,exports,1451
UKH,2015,construction,exports,135
UKH,2015,wholesale-motor,exports,230
UKH,2015,retail,exports,63
UKH,2015,information-communication,exports,1615
UKH,2015,real-estate,exports,2390
UKH,2015,insurance-pension,exports,1240
UKH,2015,financial,exports,1980
UKH,2015,administrative-support,exports,347
UKH,2015,other,exports,79
UKH,2015,all,exports,12383
UKI,2015,primary-utilities,exports,28
UKI,2015,manufacturing,exports,620
UKI,2015,transport,exports,11175
UKI,2015,travel,exports,18006
UKI,2015,construction,exports,867
UKI,2015,wholesale-motor,exports,3183
UKI,2015,retail,exports,491
UKI,2015,information-communication,exports,15638
UKI,2015,real-estate,exports,16597
UKI,2015,insurance-pension,exports,3089
UKI,2015,financial,exports,28818
UKI,2015,administrative-support,exports,3763
UKI,2015,other,exports,1354
UKI,2015,all,exports,103628
