Investment Direction,Year,International Trade Basis,FDI Area,FDI Component,FDI Industry,Value,Marker
inward,2016,BPM6,slovakia,total-net-fdi-in-the-uk,all-activities,2.0,
inward,2017,BPM6,slovakia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2018,BPM6,slovakia,total-net-fdi-in-the-uk,all-activities,1.0,
inward,2019,BPM6,slovakia,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2010,BPM5,slovenia,total-net-fdi-in-the-uk,all-activities,-1.0,
inward,2011,BPM5,slovenia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2012,BPM6,slovenia,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2013,BPM6,slovenia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2014,BPM6,slovenia,total-net-fdi-in-the-uk,all-activities,-1.0,
inward,2015,BPM6,slovenia,total-net-fdi-in-the-uk,all-activities,-1.0,
inward,2016,BPM6,slovenia,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2017,BPM6,slovenia,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2018,BPM6,slovenia,total-net-fdi-in-the-uk,all-activities,-1.0,
inward,2019,BPM6,slovenia,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2010,BPM5,spain,total-net-fdi-in-the-uk,all-activities,2226.0,
inward,2011,BPM5,spain,total-net-fdi-in-the-uk,all-activities,2578.0,
inward,2012,BPM6,spain,total-net-fdi-in-the-uk,all-activities,-84.0,
inward,2013,BPM6,spain,total-net-fdi-in-the-uk,all-activities,978.0,
inward,2014,BPM6,spain,total-net-fdi-in-the-uk,all-activities,630.0,
inward,2015,BPM6,spain,total-net-fdi-in-the-uk,all-activities,2288.0,
inward,2016,BPM6,spain,total-net-fdi-in-the-uk,all-activities,1955.0,
inward,2017,BPM6,spain,total-net-fdi-in-the-uk,all-activities,1320.0,
inward,2018,BPM6,spain,total-net-fdi-in-the-uk,all-activities,2832.0,
inward,2019,BPM6,spain,total-net-fdi-in-the-uk,all-activities,697.0,
inward,2010,BPM5,sweden,total-net-fdi-in-the-uk,all-activities,115.0,
inward,2011,BPM5,sweden,total-net-fdi-in-the-uk,all-activities,469.0,
