Investment Direction,Year,International Trade Basis,FDI Area,FDI Component,FDI Industry,Value,Marker
inward,2016,BPM6,Slovakia,Total Net Fdi In The Uk,All Activities,2.0,
inward,2017,BPM6,Slovakia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2018,BPM6,Slovakia,Total Net Fdi In The Uk,All Activities,1.0,
inward,2019,BPM6,Slovakia,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2010,BPM5,Slovenia,Total Net Fdi In The Uk,All Activities,-1.0,
inward,2011,BPM5,Slovenia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2012,BPM6,Slovenia,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2013,BPM6,Slovenia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2014,BPM6,Slovenia,Total Net Fdi In The Uk,All Activities,-1.0,
inward,2015,BPM6,Slovenia,Total Net Fdi In The Uk,All Activities,-1.0,
inward,2016,BPM6,Slovenia,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2017,BPM6,Slovenia,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2018,BPM6,Slovenia,Total Net Fdi In The Uk,All Activities,-1.0,
inward,2019,BPM6,Slovenia,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2010,BPM5,Spain,Total Net Fdi In The Uk,All Activities,2226.0,
inward,2011,BPM5,Spain,Total Net Fdi In The Uk,All Activities,2578.0,
inward,2012,BPM6,Spain,Total Net Fdi In The Uk,All Activities,-84.0,
inward,2013,BPM6,Spain,Total Net Fdi In The Uk,All Activities,978.0,
inward,2014,BPM6,Spain,Total Net Fdi In The Uk,All Activities,630.0,
inward,2015,BPM6,Spain,Total Net Fdi In The Uk,All Activities,2288.0,
inward,2016,BPM6,Spain,Total Net Fdi In The Uk,All Activities,1955.0,
inward,2017,BPM6,Spain,Total Net Fdi In The Uk,All Activities,1320.0,
inward,2018,BPM6,Spain,Total Net Fdi In The Uk,All Activities,2832.0,
inward,2019,BPM6,Spain,Total Net Fdi In The Uk,All Activities,697.0,
inward,2010,BPM5,Sweden,Total Net Fdi In The Uk,All Activities,115.0,
inward,2011,BPM5,Sweden,Total Net Fdi In The Uk,All Activities,469.0,
